project,release,class,loc,churn,loc_added,fan_out,revisions,max_churn,max_loc_added,avg_churn,avg_loc_added,fan_in_total,loc_touched_total,revisions_density,ns,age,weighted_age,nauth,nfix,ndev,bug_density,fix,code_smells,buggy
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\Config.java,343,0,0,4,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,7,4,7,0.0116618075801749,1,39,YES
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\ConfigValidation.java,50,0,0,0,0,0,0,0.0,0.0,1,0,0.0,1,4.94,0.0,2,1,2,0.02,1,22,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\Constants.java,13,0,0,2,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\ILocalCluster.java,26,0,0,9,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\ILocalDRPC.java,7,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\StormSubmitter.java,112,0,0,7,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,30,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\clojure\ClojureBolt.java,87,0,0,15,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,10,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\clojure\ClojureSpout.java,110,0,0,13,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,15,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\clojure\RichShellBolt.java,29,0,0,5,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\clojure\RichShellSpout.java,29,0,0,5,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\BatchBoltExecutor.java,77,0,0,11,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,11,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\BatchOutputCollector.java,14,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\BatchOutputCollectorImpl.java,28,0,0,2,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\BatchSubtopologyBuilder.java,364,0,0,13,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,18,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\CoordinatedBolt.java,317,0,0,17,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,22,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\coordination\IBatchBolt.java,11,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\daemon\Shutdownable.java,4,0,0,0,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\DRPCInvocationsClient.java,64,0,0,7,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\DRPCSpout.java,135,0,0,16,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,16,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\JoinResult.java,49,0,0,9,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,7,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\KeyedFairBolt.java,63,0,0,9,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,8,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\LinearDRPCInputDeclarer.java,22,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\LinearDRPCTopologyBuilder.java,320,0,0,20,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,39,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\PrepareRequest.java,35,0,0,8,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\drpc\ReturnResults.java,68,0,0,13,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,9,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\AlreadyAliveException.java,251,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,27,NO
